sample_id,article_group,view,mask_fraction,replicate,distance_threshold,rule,eligible_pairs,reference_close_pairs,accepted_pairs,contradictory_pairs,retained_reference_close_pairs,point_defined_pairs
e116-s21-prasad-2018,article:e116,material_identity,0.5,1,0.5,coverage_0.75,119,32,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.1,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.1,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.1,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.1,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.2,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.2,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.2,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.2,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.3,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.3,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.3,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.3,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.4,reported_point,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.4,interval_upper,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.4,coverage_0.5,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.4,coverage_0.75,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.5,reported_point,119,2,4,2,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.5,interval_upper,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.5,coverage_0.5,119,2,4,2,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,1,0.5,coverage_0.75,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.1,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.1,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.1,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.1,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.2,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.2,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.2,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.2,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.3,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.3,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.3,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.3,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.4,reported_point,119,1,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.4,interval_upper,119,1,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.4,coverage_0.5,119,1,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.4,coverage_0.75,119,1,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.5,reported_point,119,4,5,2,3,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.5,interval_upper,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.5,coverage_0.5,119,4,5,2,3,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,1,0.5,coverage_0.75,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.1,reported_point,119,4,4,0,4,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.1,interval_upper,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.1,coverage_0.5,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.1,coverage_0.75,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.2,reported_point,119,4,4,0,4,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.2,interval_upper,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.2,coverage_0.5,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.2,coverage_0.75,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.3,reported_point,119,18,18,0,18,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.3,interval_upper,119,18,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.3,coverage_0.5,119,18,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.3,coverage_0.75,119,18,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.4,reported_point,119,23,23,0,23,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.4,interval_upper,119,23,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.4,coverage_0.5,119,23,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.4,coverage_0.75,119,23,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.5,reported_point,119,32,32,0,32,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.5,interval_upper,119,32,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.5,coverage_0.5,119,32,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.5,2,0.5,coverage_0.75,119,32,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.1,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.1,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.1,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.1,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.2,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.2,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.2,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.2,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.3,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.3,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.3,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.3,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.4,reported_point,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.4,interval_upper,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.4,coverage_0.5,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.4,coverage_0.75,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.5,reported_point,119,2,3,1,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.5,interval_upper,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.5,coverage_0.5,119,2,3,1,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.5,2,0.5,coverage_0.75,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.1,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.1,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.1,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.1,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.2,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.2,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.2,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.2,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.3,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.3,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.3,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.3,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.4,reported_point,119,1,1,1,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.4,interval_upper,119,1,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.4,coverage_0.5,119,1,1,1,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.4,coverage_0.75,119,1,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.5,reported_point,119,4,4,1,3,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.5,interval_upper,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.5,coverage_0.5,119,4,4,1,3,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.5,2,0.5,coverage_0.75,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.1,reported_point,119,4,4,0,4,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.1,interval_upper,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.1,coverage_0.5,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.1,coverage_0.75,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.2,reported_point,119,4,4,0,4,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.2,interval_upper,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.2,coverage_0.5,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.2,coverage_0.75,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.3,reported_point,119,18,18,0,18,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.3,interval_upper,119,18,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.3,coverage_0.5,119,18,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.3,coverage_0.75,119,18,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.4,reported_point,119,23,23,0,23,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.4,interval_upper,119,23,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.4,coverage_0.5,119,23,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.4,coverage_0.75,119,23,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.5,reported_point,119,32,32,0,32,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.5,interval_upper,119,32,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.5,coverage_0.5,119,32,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,0,0.5,coverage_0.75,119,32,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.1,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.1,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.1,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.1,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.2,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.2,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.2,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.2,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.3,reported_point,119,0,1,1,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.3,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.3,coverage_0.5,119,0,1,1,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.3,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.4,reported_point,119,2,1,1,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.4,interval_upper,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.4,coverage_0.5,119,2,1,1,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.4,coverage_0.75,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.5,reported_point,119,2,3,1,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.5,interval_upper,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.5,coverage_0.5,119,2,3,1,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,0,0.5,coverage_0.75,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.1,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.1,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.1,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.1,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.2,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.2,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.2,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.2,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.3,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.3,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.3,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.3,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.4,reported_point,119,1,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.4,interval_upper,119,1,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.4,coverage_0.5,119,1,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.4,coverage_0.75,119,1,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.5,reported_point,119,4,4,2,2,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.5,interval_upper,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.5,coverage_0.5,119,4,2,1,1,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,0,0.5,coverage_0.75,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.1,reported_point,119,4,4,0,4,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.1,interval_upper,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.1,coverage_0.5,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.1,coverage_0.75,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.2,reported_point,119,4,4,0,4,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.2,interval_upper,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.2,coverage_0.5,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.2,coverage_0.75,119,4,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.3,reported_point,119,18,18,0,18,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.3,interval_upper,119,18,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.3,coverage_0.5,119,18,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.3,coverage_0.75,119,18,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.4,reported_point,119,23,23,0,23,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.4,interval_upper,119,23,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.4,coverage_0.5,119,23,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.4,coverage_0.75,119,23,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.5,reported_point,119,32,32,0,32,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.5,interval_upper,119,32,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.5,coverage_0.5,119,32,0,0,0,119
e116-s21-prasad-2018,article:e116,material_identity,0.75,1,0.5,coverage_0.75,119,32,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.1,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.1,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.1,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.1,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.2,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.2,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.2,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.2,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.3,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.3,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.3,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.3,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.4,reported_point,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.4,interval_upper,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.4,coverage_0.5,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.4,coverage_0.75,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.5,reported_point,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.5,interval_upper,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.5,coverage_0.5,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.75,1,0.5,coverage_0.75,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,1,0.1,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,1,0.1,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,1,0.1,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,1,0.1,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,1,0.2,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,1,0.2,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,1,0.2,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,1,0.2,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.75,1,0.3,reported_point,119,0,0,0,0,119
